,Count,Interface ID,Encap Type,Time,Time Epoch,Time Delta,Time Delta Displayed,Time Relative,Number,Len,Cap Len,Marked,Ignored,Protocols
35,35,0,23,"Apr 13, 2017 15:56:34.195902000 Pacific Daylight Time",1492124194.195902000,0.000245000,0.102371000,3.686918000,2295,259,259,0,0,radiotap:wlan_radio:wlan
36,36,0,23,"Apr 13, 2017 15:56:34.299909000 Pacific Daylight Time",1492124194.299909000,0.024119000,0.104007000,3.790925000,2375,259,259,0,0,radiotap:wlan_radio:wlan
37,37,0,23,"Apr 13, 2017 15:56:34.400862000 Pacific Daylight Time",1492124194.400862000,0.005742000,0.100953000,3.891878000,2441,259,259,0,0,radiotap:wlan_radio:wlan
38,38,0,23,"Apr 13, 2017 15:56:34.507320000 Pacific Daylight Time",1492124194.507320000,0.000382000,0.106458000,3.998336000,2554,259,259,0,0,radiotap:wlan_radio:wlan
39,39,0,23,"Apr 13, 2017 15:56:34.605856000 Pacific Daylight Time",1492124194.605856000,0.004301000,0.098536000,4.096872000,2637,259,259,0,0,radiotap:wlan_radio:wlan
40,40,0,23,"Apr 13, 2017 15:56:34.712498000 Pacific Daylight Time",1492124194.712498000,0.000284000,0.106642000,4.203514000,2725,259,259,0,0,radiotap:wlan_radio:wlan
41,41,0,23,"Apr 13, 2017 15:56:34.819514000 Pacific Daylight Time",1492124194.819514000,0.000283000,0.107016000,4.310530000,2801,259,259,0,0,radiotap:wlan_radio:wlan
42,42,0,23,"Apr 13, 2017 15:56:34.915471000 Pacific Daylight Time",1492124194.915471000,0.000219000,0.095957000,4.406487000,2864,259,259,0,0,radiotap:wlan_radio:wlan
43,43,0,23,"Apr 13, 2017 15:56:35.014967000 Pacific Daylight Time",1492124195.014967000,0.015121000,0.099496000,4.505983000,2898,259,259,0,0,radiotap:wlan_radio:wlan
44,44,0,23,"Apr 13, 2017 15:56:35.122781000 Pacific Daylight Time",1492124195.122781000,0.000284000,0.107814000,4.613797000,2922,259,259,0,0,radiotap:wlan_radio:wlan
45,45,0,23,"Apr 13, 2017 15:56:35.219870000 Pacific Daylight Time",1492124195.219870000,0.001307000,0.097089000,4.710886000,2986,259,259,0,0,radiotap:wlan_radio:wlan
46,46,0,23,"Apr 13, 2017 15:56:35.322256000 Pacific Daylight Time",1492124195.322256000,0.008977000,0.102386000,4.813272000,3022,259,259,0,0,radiotap:wlan_radio:wlan
47,47,0,23,"Apr 13, 2017 15:56:35.424628000 Pacific Daylight Time",1492124195.424628000,0.006927000,0.102372000,4.915644000,3027,259,259,0,0,radiotap:wlan_radio:wlan
48,48,0,23,"Apr 13, 2017 15:56:35.526891000 Pacific Daylight Time",1492124195.526891000,0.004874000,0.102263000,5.017907000,3054,259,259,0,0,radiotap:wlan_radio:wlan
49,49,0,23,"Apr 13, 2017 15:56:35.634006000 Pacific Daylight Time",1492124195.634006000,0.000220000,0.107115000,5.125022000,3093,259,259,0,0,radiotap:wlan_radio:wlan
50,50,0,23,"Apr 13, 2017 15:56:35.732064000 Pacific Daylight Time",1492124195.732064000,0.000126000,0.098058000,5.223080000,3180,259,259,0,0,radiotap:wlan_radio:wlan
51,51,0,23,"Apr 13, 2017 15:56:35.834135000 Pacific Daylight Time",1492124195.834135000,0.000317000,0.102071000,5.325151000,3271,259,259,0,0,radiotap:wlan_radio:wlan
52,52,0,23,"Apr 13, 2017 15:56:35.936616000 Pacific Daylight Time",1492124195.936616000,0.001633000,0.102481000,5.427632000,3429,259,259,0,0,radiotap:wlan_radio:wlan
53,53,0,23,"Apr 13, 2017 15:56:36.039567000 Pacific Daylight Time",1492124196.039567000,0.000387000,0.102951000,5.530583000,3530,259,259,0,0,radiotap:wlan_radio:wlan
54,54,0,23,"Apr 13, 2017 15:56:36.141409000 Pacific Daylight Time",1492124196.141409000,0.000860000,0.101842000,5.632425000,3595,259,259,0,0,radiotap:wlan_radio:wlan
55,55,0,23,"Apr 13, 2017 15:56:36.243809000 Pacific Daylight Time",1492124196.243809000,0.000660000,0.102400000,5.734825000,3682,259,259,0,0,radiotap:wlan_radio:wlan
56,56,0,23,"Apr 13, 2017 15:56:36.346205000 Pacific Daylight Time",1492124196.346205000,0.002697000,0.102396000,5.837221000,3729,259,259,0,0,radiotap:wlan_radio:wlan
57,57,0,23,"Apr 13, 2017 15:56:36.448931000 Pacific Daylight Time",1492124196.448931000,0.005606000,0.102726000,5.939947000,3831,259,259,0,0,radiotap:wlan_radio:wlan
58,58,0,23,"Apr 13, 2017 15:56:36.551438000 Pacific Daylight Time",1492124196.551438000,0.005761000,0.102507000,6.042454000,3938,259,259,0,0,radiotap:wlan_radio:wlan
59,59,0,23,"Apr 13, 2017 15:56:36.659610000 Pacific Daylight Time",1492124196.659610000,0.000287000,0.108172000,6.150626000,4029,259,259,0,0,radiotap:wlan_radio:wlan
60,60,0,23,"Apr 13, 2017 15:56:36.769053000 Pacific Daylight Time",1492124196.769053000,0.000330000,0.109443000,6.260069000,4117,259,259,0,0,radiotap:wlan_radio:wlan
61,61,0,23,"Apr 13, 2017 15:56:36.861385000 Pacific Daylight Time",1492124196.861385000,0.000458000,0.092332000,6.352401000,4190,259,259,0,0,radiotap:wlan_radio:wlan
62,62,0,23,"Apr 13, 2017 15:56:36.966890000 Pacific Daylight Time",1492124196.966890000,0.000449000,0.105505000,6.457906000,4260,259,259,0,0,radiotap:wlan_radio:wlan
63,63,0,23,"Apr 13, 2017 15:56:37.069345000 Pacific Daylight Time",1492124197.069345000,0.000449000,0.102455000,6.560361000,4321,259,259,0,0,radiotap:wlan_radio:wlan
64,64,0,23,"Apr 13, 2017 15:56:37.165338000 Pacific Daylight Time",1492124197.165338000,0.002577000,0.095993000,6.656354000,4495,259,259,0,0,radiotap:wlan_radio:wlan
65,65,0,23,"Apr 13, 2017 15:56:37.267748000 Pacific Daylight Time",1492124197.267748000,0.002704000,0.102410000,6.758764000,4578,259,259,0,0,radiotap:wlan_radio:wlan
66,66,0,23,"Apr 13, 2017 15:56:37.377857000 Pacific Daylight Time",1492124197.377857000,0.000284000,0.110109000,6.868873000,4667,259,259,0,0,radiotap:wlan_radio:wlan
67,67,0,23,"Apr 13, 2017 15:56:37.472868000 Pacific Daylight Time",1492124197.472868000,0.000476000,0.095011000,6.963884000,4760,259,259,0,0,radiotap:wlan_radio:wlan
68,68,0,23,"Apr 13, 2017 15:56:37.578049000 Pacific Daylight Time",1492124197.578049000,0.000213000,0.105181000,7.069065000,4813,259,259,0,0,radiotap:wlan_radio:wlan
69,69,0,23,"Apr 13, 2017 15:56:37.677303000 Pacific Daylight Time",1492124197.677303000,0.002114000,0.099254000,7.168319000,4957,259,259,0,0,radiotap:wlan_radio:wlan
70,70,0,23,"Apr 13, 2017 15:56:37.779700000 Pacific Daylight Time",1492124197.779700000,0.064002000,0.102397000,7.270716000,4961,259,259,0,0,radiotap:wlan_radio:wlan
